"Product_Name","Supplier_Name","Article_Number","Category","Volumn","Alcohol_Percent","Country","Producer","Package"
"Chapell Hill Mousserande alkoholfritt","Henkell & Co Sverige AB","718898","Alkoholfritt alt","1482880","","","","6x75 cl"
"Hallonsaft 1+6","Tage Lindblom","727604","Saft: hallon, jordgubb","46277","","","","1x5 l"
"Mariestads 3,5% returglas","Spendrups Bryggeri AB","116755","Folköl","1103701","","","","15x50 cl"
"Äppledryck koncentrat","Kiviks Musteri AB","109547","Måltidsdricka konc, äpple","72987","","","","10x1 l"
"Smoothie Kraft","Arla Foods AB","211168","Fruktdryck","66855","","","","1x5 l"
"Fanta Orange Bag-in-box","Coca-cola European Partners Pl","776376","Engångsförp, läsk odyl","3061","","","","1x10 l"
"Mariestads 3,5 % burk","Spendrups Bryggeri AB","112004","Folköl","1164627","","","","4x6x50 cl"
"Nygårda Påskmust REGL","Spendrups Bryggeri AB","115054","Returglas, läsk odyl","1305000","","","","20x33 cl"
"Läsk Tranbär BRK EKO","Midsona Sverige (markatta)","116348","Burkar, läsk odyl","41362","","","","24x33 cl"
"Red Bull Zero Calories BRK","Red Bull Sweden AB","111431","Sportdrycker","202510","","","","24x25 cl"
"Three Cents Lemon Tonic","Barkonsult AB","117700","Engångsförp, drinkvatten","3C-LT","","","","24x200 ml"
"The Bitter Truth Orange Flower Water alkoholfri","Barkonsult AB","112575","Drinkbaser","00703","","","","12x12,5 cl"
"Citron Svart te","Coca-cola European Partners Pl","120682","Drickfärdiga drycker, övr smak","7108","","","","12x40 cl"
"Äppledryck jordgubb lime mousserande Alkoholfri PET","Herrljunga Cider AB","109382","Drickfärdiga drycker, övr smak","2142","","","","12x50 cl"
"Nocco BCAA Hallon Stilla BRK","Vitamin Well AB","114658","Burkar, läsk odyl","6060","","","","24x33 cl"
"Coca-Cola light exotic mango","Coca-cola European Partners Pl","121461","Burkar, läsk odyl","2211","","","","24x33 cl"
"Mixers Mojito PET","Spendrups Bryggeri AB","115533","PET, läsk odyl","1374140","","","","24x50 cl"
"Red Bull Ginger Ale EKO Dryck BRK","Red Bull Sweden AB","121080","Sportdrycker","217542","","","","24x25 cl"
"Gosling Ginger Beer","Arcus Sweden AB","114745","Engångsförp, drinkvatten","X5172CL0502","","","","24x33 cl"
"Giffard Vattenmelon Syrup","Renbjer & Magnusson AB","116372","Drinkbaser","GSR029","","","","6x1 l"
"Måltidsdryck citron lime","Fruktjuice I Enköping AB","717928","Måltidsdricka konc, övrig smak","3366-04","","","","1x5 l"
"Cider Apple & Williams Pear ENGL","Hermansson & Co AB","116639","Cider alkoholfri","246191303","","","","12x37,5 cl"
"Peach & Passion 250ml","Froosh Sverige AB","205635","Smoothie","25008108-k","","","","12x25 cl"
"Fanta Pink Grapefruit Zero Sugar PET","Coca-cola European Partners Pl","118393","PET, läsk odyl","7431","","","","24x50 cl"
"Ubuntu Cola Fairtraide Burk","Midsona Sverige (markatta)","109601","Burkar, läsk odyl","861301","","","","24x33 cl"
"Ginger Ale ENGL","Saturnus AB","117749","Engångsförp, drinkvatten","7763","","","","24x20 cl"
"Smoothie ekomellis Blåbär och Banan KRAV BRIK","Kalasföretaget Säljprofilen AB","117463","Smoothie","617025","","","","18x25 cl"
"Nocco Christmas Edition","Vitamin Well AB","121596","Burkar, läsk odyl","6230","","","","24x33 cl"
"FL Jordgubb PET","Orkla Foods Sverige","115643","Saft: övriga smaker","36316s","","","","12x1 l"
"Vitamin W Reload Zero","Vitamin Well AB","121546","Drickfärdiga drycker, övr smak","5110","","","","24x35,5 cl"
"Monin Mojito mint","Barkonsult AB","719133","Drinkbaser","M71","","","","6x700 ml"
"Herrgårdscider Päron 0,3% ENGL","Kiviks Musteri AB","106787","Cider alkoholhaltig","60800","","","","8x75 cl"
"Nocco BCAA+ Äpple BRK","Vitamin Well AB","115168","Burkar, läsk odyl","6090","","","","24x33 cl"
"Nocco hallon citron","Vitamin Well AB","120201","Burkar, läsk odyl","6210","","","","24x33 cl"
"Smakis smoothie ekomellis mango och Päron KRAV BRIK","Kalasföretaget Säljprofilen AB","117464","Smoothie","627025","","","","18x25 cl"
"Jacob's Creek UnVined Sparkling","Pernod Ricard Sweden AB","118658","Alkoholfritt alt","1050466","","","","6x75 cl"
"Coca-Cola light PET","Coca-cola European Partners Pl","120209","PET, läsk odyl","2123","","","","8x150 cl"
"Birra Morretti Zero alkfri 33cl Eg 3-pack","Spendrups Bryggeri AB","118404","Öl alkoholfri","2181111","","","","8x3x33 cl"
"Norrlands 3,5% 10p BRK","Spendrups Bryggeri AB","104716","Folköl","1148333","","","","1x10x33 cl"
"Loka Päron PET","Spendrups Bryggeri AB","124383","PET","1206739","","","","1x12x33 cl"
"Passionsfrukt REGL","Carlsberg Sverige AB","702912","Returglas, läsk odyl","21542","","","","20x33 cl"
"Loka grape lime PET","Spendrups Bryggeri AB","117570","PET","1236240","","","","24x50 cl"
"Äppeldryck Light 1+9","Fruktjuice I Enköping AB","119050","Måltidsdricka konc, äpple","3003-01","","","","6x1 l"
"Juice lime kallpressad","Freshzilla Sa","409229","Dryck Juice, nektar","402","","","","12x1 l"
"Pommac Magnum ENGL","Movement Businesspartner AB","186097","Engångsförp, läsk odyl","028","","","","6x150 cl"
"Juice Apelsin nypressad","Arla Foods AB","211154","Juice drickfärdig","66803","","","","4x30 cl"
"Smoothie Green Machine","Orkla Foods Sverige","208711","Smoothie","340023825","","","","8x45 cl"
"Öl Jul alkoholfri","Spendrups Bryggeri AB","119928","Returglas, läsk odyl","1174211","","","","24x33 cl"
"Herrgårdscider Päron 0,3% ENGL","Kiviks Musteri AB","120198","Cider alkoholhaltig","60809","","","","12x27,5 cl"
"Svartvinbärsdryck osockrad","Orkla Foods Sverige","108751","Saft: svart vinbär","67376","","","","8x1 l"
"ICE Latte Macchiato FT EKO","Löfbergs Lila AB","208535","Drickfärdiga drycker, övr smak","10517","","","","12x230 ml"
"Smoothie Fokus","Arla Foods AB","211296","Smoothie","68716","","","","4x30 cl"
"Fanta Exotic BIB 10L","Coca-cola European Partners Pl","121492","Engångsförp, läsk odyl","3465","","","","1x10 l"
"Juice citron kallpressad","Freshzilla Sa","404098","Dryck Juice, nektar","233","","","","12x1 l"
"Vichy REGL","Spendrups Bryggeri AB","186137","Returglas","1202100","","","","20x33 cl"
"Monin Kiwi","Barkonsult AB","762108","Drinkbaser","M17","","","","6x700 ml"
"Jacobs Creek UnVined Rose Alkoholfritt","Pernod Ricard Sweden AB","114350","Alkoholfritt alt","1050345","","","","6x75 cl"
"San bitter","Enjoy Wine & Spirits AB","101316","Engångsförp, läsk odyl","199901","","","","24x10 cl"
