"Product_Name","Supplier_Name","Article_Number","Category","Volumn","Alcohol_Percent","Country","Producer","Package"
"Hacienda de Arínzano Blanco","Primewine Sweden AB","724967","Torrt","7137501","12.5","Spanien","","12x75 cl"
"Turpino","Primewine Sweden AB","724972","Medel fylligt","7223401","14","Italien","","6x75 cl"
"Zonnebloem Sauvignon Blanc","Janake Wine Group AB","724234","Torrt","202001","12.5","Sydafrika","Zonnebloem Wines","6x75 cl"
"Berto Rosso","Renbjer & Magnusson AB","726004","Italien","VBR001","17","Italien","","1x1 L"
"Castillo San Simon Chardonny 75Cl","Altia Sweden AB","724852","Torrt","1024513","11.5","Spanien","Bodegas 1890","12x75 cl"
"Rosamaro Brut","Pernod Ricard Sweden AB","724867","Torrt","1050582","11","Italien","Zonin","6x75 cl"
"Castle Rock California Cuvée Pinot Noir","Janake Wine Group AB","723956","Medel fylligt","7585201","13","USA","","12x75 cl"
"Tini Trebbiano Chardonnay Organic","Primewine Sweden AB","723750","Italien","X5226CV1201","12","Italien","Caviro","12x75 cl"
"Rhum Negrita White Signature","Berntson Brands AB","724290","Rom","8663601","37.5","Frankrike","","6x70 cl"
"Zenato Pinot Grigio delle Venezie IGT","Fine Brands","723652","Halvtorrt","7852101","12.5","Italien","","6x75 cl"
"Solatio del Tani Chianti Classico Machiavelli","Domaine Wines Sweden AB","724108","Medel fylligt","X512215301","13.5","Italien","Domaine des Marroniers","6x75 cl"
"Pasqua Morago Appasimento","Bibendum AB","723097","Vin, Sprit och Starköl","1020437","14","Italien","","6x75 cl"
"Små Grönne Shots","Spivi AB","723169","Frukt-och bärlikörer","100203","16.4","Danmark","","6x70 cl"
"Sonoma County Cabernet Sauvignon Rodney Strong","Domaine Wines Sweden AB","723586","Fylligt","7936401","13.5","USA","","12x75 cl"
"Bolllinger R.D -02","Arvid Nordquist Hab","722728","Frankrike","47643","12","Frankrike","","3x75 cl"
"Vinvalie Rosè Piscine","Smaksinnet AB","723075","Vin, Sprit och Starköl","FRA.VV.0005","11","Frankrike","","6x75 cl"
"Ca´Brione Bianco Sondrio IGT","Domaine Wines Sweden AB","722724","Torrt","X512212101","13.5","Italien","Nino Negri","6x75 cl"
"Cardhu 15 years","Diageo Sweden AB","722792","Maltwhisky","9046295","40","Storbritannien","","6x70 cl"
"Gobelsburg Ried Lamm Kamptal Grüner Veltliner","Primewine Sweden AB","725912","Torrt","X5226SG2101","13.5","Österrike","","6x75 cl"
